doc_type,filename,n_pages,n_chars,chars_per_page,is_scanned,title_by_font,title_by_keyword,n_articles,n_circled,n_numbered,n_tables,structure,compliance_no,compliance_date,error
desc,hana_desc_fx_hwanjeonjigap_mokpyohwanyul_jadonghwanjeon_seobiseu_20260511.pdf,4,3590,897,False,『환전지갑 목표환율 자동환전 서비스』 설명서,『환전지갑 목표환율 자동환전 서비스』 설명서,0,6,7,9,numbered,,,
desc,hana_desc_fx_hwanjeonjigap_seonmulhagi_seobiseu_20260511.pdf,3,2259,753,False,『환전지갑 선물하기 서비스』 설명서,『환전지갑 선물하기 서비스』 설명서,0,2,5,3,numbered,,,
desc,hana_desc_fx_jehyu_hwanjeonjigap_seobiseu_20260402.pdf,3,2351,783,False,『제휴 환전지갑 서비스 설명서』,『제휴 환전지갑 서비스 설명서』,0,10,4,2,clause,,,
desc,hana_desc_fx_Usance_songgeum_20251010.pdf,3,5,1,True,,,0,0,0,5,scanned,,,
desc,hana_desc_loan_bogeumjariron_20260514.pdf,13,21416,1647,False,보금자리론 설명서,보금자리론 설명서,13,26,26,10,article,,,
desc,hana_desc_loan_Ctsuikryulseolmyeongseo(yeosingeoraeyong)_20250321.pdf,6,10265,1710,False,CD수익률 설명서 (여신거래용),CD수익률 설명서 (여신거래용),16,32,22,6,article,,,
desc,hana_desc_loan_daechul_sangpumseolmyeongseo(gwonyuyong)_20250113.pdf,6,21937,3656,False,대출 상품설명서(권유용),(은행보관용) 대출 상품설명서(권유용),16,8,8,7,article,,,
desc,hana_desc_loan_easy-one_jutaekdosigigeumdaechul(gagyeyong)_20260101.pdf,2,7986,3993,False,주택도시기금대출(가계용) 상품설명서,주택도시기금대출(가계용) 상품설명서,7,2,8,4,article,,,
desc,hana_desc_loan_gagyedaechul_sangpumseolmyeongseo_20250113.pdf,24,39292,1637,False,가계대출 상품설명서,가계대출 상품설명서,26,40,0,31,article,,,
desc,hana_desc_loan_gagyedaechul_sangpumseolmyeongseo_[1Q(wonkyu) otoron]_20250113.pdf,24,39960,1665,False,가계대출 상품설명서,가계대출 상품설명서,26,40,4,32,article,,,
desc,hana_desc_loan_gieopdaechulsangpumseolmyeongseo_20250113.pdf,22,37020,1682,False,기업대출 상품설명서,기업대출 상품설명서,28,38,0,29,article,,,
desc,hana_desc_loan_jeonsejageumdaechul_sangpumseolmyeongseo_20250113.pdf,26,41874,1610,False,전세자금대출 상품설명서,전세자금대출 상품설명서,24,40,0,31,article,,,
desc,hana_desc_loan_jutaegyeongeum_sajeonyeyak_bogeumjariron_20260514.pdf,14,22266,1590,False,주택연금 사전예약 보금자리론 설명서,주택연금 사전예약 보금자리론 설명서,13,26,26,10,article,,,
desc,hana_desc_loan_jutaekdambodaechul_sangpumseolmyeongseo_20250113.pdf,26,41564,1598,False,주택담보대출 상품설명서,주택담보대출 상품설명서,24,38,0,33,article,,,
desc,hana_desc_loan_naejipmaryeon_didimdol_daechul_20260101.pdf,3,8398,2799,False,내집마련 디딤돌 대출 상품설명서,내집마련 디딤돌 대출 상품설명서,6,2,6,4,article,,,
desc,hana_desc_others_hana_hwasangsangdamdeseukeu_seobiseu_20260223.pdf,1,1275,1275,False,『하나 화상상담데스크』 서비스 설명서,『하나 화상상담데스크』 서비스 설명서,0,0,7,0,numbered,,,
desc,hana_desc_others_yegeum_tokeun_20250401.pdf,2,2720,1360,False,「예금 토큰」 설명서,「예금 토큰」 설명서,0,0,0,2,flat,2025-약관-025,,
desc,hana_desc_retirement_pension_gaeinhyeong_IRP_haeksimseolmyeongseo_20260213.pdf,5,9204,1840,False,개인형IRP 핵심설명서,개인형IRP 핵심설명서,2,10,5,13,clause,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_anjeonghyeong_poteupollio_20250901.pdf,8,15119,1889,False,『하나은행 디폴트옵션 안정형 포트폴리오』 상품설명서,『하나은행 디폴트옵션 안정형 포트폴리오』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_anjeongtujahyeong_poteupollio_1_20260401.pdf,8,16325,2040,False,『하나은행 디폴트옵션 안정투자형 포트폴리오 1』 상품설명서,『하나은행 디폴트옵션 안정투자형 포트폴리오 1』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_anjeongtujahyeong_poteupollio_2_20250901.pdf,8,16217,2027,False,『하나은행 디폴트옵션 안정투자형 포트폴리오 2』 상품설명서,『하나은행 디폴트옵션 안정투자형 포트폴리오 2』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_anjeongtujahyeong_poteupollio_3_20260623.pdf,8,15667,1958,False,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 상품설명서,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_jeokgeuktujahyeong_poteupollio_1_20260527.pdf,8,15333,1916,False,『하나은행 디폴트옵션 적극투자형 포트폴리오 1』 상품설명서,『하나은행 디폴트옵션 적극투자형 포트폴리오 1』 상품설명서,2,0,20,12,numbered,,,
desc,hana_desc_retirement_pension_hanaeunhaeng_dipolteuopsyeon_jungriptujahyeong_poteupollio_1_20260401.pdf,8,16215,2026,False,『하나은행 디폴트옵션 중립투자형 포트폴리오 1』 상품설명서,『하나은행 디폴트옵션 중립투자형 포트폴리오 1』 상품설명서,2,0,20,12,numbered,,,
